Comment,Designator,Footprint,LCSC Part #,Type
,JP1,1X05,,THT
DC_TRS,J2,JACK_DC_PC-MOUNT_2.1MM_NO-KEEPOUT,,THT
STEREOSW3NOMOUNT,J1 J3,NEUTRIK-NRJ6HF-NOMOUNT,,THT
